Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
183894091,1,0.00,0.00,284,75940,899736,29168,755432,864544,1056,114080,3.24,96.09,0
183995467,102,14.29,25.71,284,75940,899736,29160,755432,864576,1056,114088,3.24,96.09,37
184097034,204,25.64,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,42
184198612,305,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,47
184300239,407,27.50,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,51
184401861,509,25.00,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,55
184503451,610,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,59
184605059,712,25.64,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,63
184706629,813,26.83,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,68
184808272,915,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,74
184910091,1017,25.64,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,78
185011657,1118,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,82
185113246,1220,26.83,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,86
185214836,1322,25.64,25.64,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,90
185316427,1423,25.00,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,94
185418051,1525,25.64,28.95,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,99
185519623,1626,26.83,23.81,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,103
185621223,1728,25.64,28.95,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,107
185722826,1830,26.83,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,111
185824424,1931,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,117
185925965,2033,25.64,27.50,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,121
186027551,2134,26.83,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,125
186129179,2236,25.64,25.64,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,129
186230787,2338,26.83,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,133
186332369,2439,25.64,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,138
186433980,2541,25.00,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,142
186535572,2642,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,146
186637209,2744,27.50,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,150
186739186,2846,25.00,27.50,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,156
186840753,2947,27.50,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,160
186942323,3049,26.83,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,166
187043916,3151,25.00,27.50,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,170
187145519,3252,25.64,25.00,4472,79016,899736,31932,752660,861812,1056,114088,3.55,95.78,174
187247724,3354,25.00,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,179
187349306,3456,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,183
187450876,3558,27.50,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,187
187552481,3659,26.83,24.39,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,191
187654048,3761,25.64,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,196
187755606,3862,25.00,28.21,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,201
187857206,3964,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,205
187958763,4065,27.50,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,209
188060402,4167,25.00,27.50,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,213
188161953,4269,25.00,25.00,4472,82088,899736,31932,752660,861812,1056,114088,3.55,95.78,217
188263635,4370,27.50,25.00,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,222
188365254,4472,25.00,25.00,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,226
188466832,4574,25.64,27.50,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,230
188568465,4675,25.00,25.64,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,234
188670059,4777,25.00,27.50,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,238
188771607,4878,27.50,25.00,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,243
188873219,4980,25.00,25.00,4472,82088,899736,31928,752660,861812,1056,114092,3.55,95.78,248
188974784,5082,25.64,27.50,4472,82088,899736,31928,752660,861812,1060,114088,3.55,95.78,253
189078072,5185,27.91,23.81,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,258
189179671,5286,25.64,25.64,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,262
189281249,5388,25.00,27.50,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,266
189382824,5490,25.00,25.00,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,271
189484402,5591,25.64,25.64,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,275
189586089,5693,26.83,24.39,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,279
189687655,5794,25.00,27.50,4472,82088,899736,31924,752660,861812,1064,114088,3.55,95.78,283
189789240,5896,25.64,25.64,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,288
189890840,5998,25.00,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,292
189992440,6099,27.50,23.81,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,297
190093989,6201,25.00,26.32,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,301
190195597,6302,25.00,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,305
190297203,6404,27.50,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,309
190398847,6506,25.00,24.39,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,313
190500436,6607,27.50,25.64,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,318
190601984,6709,26.83,24.39,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,322
190703598,6810,25.64,28.21,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,326
190805245,6912,25.00,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,330
190907261,7014,25.64,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,334
191008823,7116,25.00,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,339
191110413,7217,26.83,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,343
191211994,7319,27.50,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,347
191313611,7420,25.00,25.00,4472,79016,899736,31920,752660,861812,1064,114092,3.55,95.78,351
191415910,7523,27.50,24.39,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,355
191517492,7624,25.00,25.64,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,360
191619050,7726,25.00,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,364
191720637,7827,25.64,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,369
191822214,7929,26.83,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,373
191923787,8031,27.50,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,378
192025393,8132,25.64,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,384
192126988,8234,25.00,25.64,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,388
192228612,8335,25.00,26.83,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,392
192330204,8437,27.50,25.64,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,396
192431746,8538,25.00,25.00,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,400
192533354,8640,25.00,27.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,405
192634976,8742,27.50,22.50,4472,82088,899736,31920,752660,861812,1064,114092,3.55,95.78,409
192736799,8844,25.00,26.83,4472,82088,899736,31916,752660,861816,1064,114096,3.55,95.79,414
192838378,8945,26.83,25.00,4472,82088,899736,31916,752660,861816,1064,114096,3.55,95.79,418
