Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
89263974,1,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,0
89265893,3,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,1
89267517,4,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,2
89269129,6,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,3
89270724,8,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,4
89272316,9,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,5
89274043,11,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,6
89275636,12,0.00,100.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,7
89277243,14,100.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,8
89278842,16,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,10
89280674,17,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,11
89282278,19,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,12
89283924,21,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,13
89285521,22,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,14
89287260,24,50.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,15
89288878,26,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,16
89290473,27,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,17
89292041,29,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,18
89293623,30,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,19
89295239,32,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,20
89296898,34,0.00,100.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,21
89298490,35,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,22
89300093,37,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,23
89301696,39,0.00,100.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,24
89303443,40,100.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,25
89305060,42,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,26
89306664,43,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,27
89308270,45,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,28
89309883,47,0.00,0.00,288,75940,899736,29472,857964,864080,1024,11276,3.28,96.04,29
