Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
240406293,1,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,0
240412650,7,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,1
240418774,13,0.00,50.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,2
240424984,19,50.00,50.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,3
240431163,26,0.00,50.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,4
240437346,32,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,5
240443461,38,0.00,100.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,6
240449633,44,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,7
240455762,50,33.33,33.33,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,14
240462126,57,0.00,100.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,23
240468414,63,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,24
240474574,69,0.00,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,26
240480784,75,50.00,66.67,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,29
240487256,82,33.33,0.00,288,75940,899736,28740,819588,864804,1004,50404,3.19,96.12,30
240493660,88,0.00,50.00,288,75940,899736,28740,819588,864804,1008,50400,3.19,96.12,37
240502052,97,33.33,50.00,288,75940,899736,28992,819336,864552,1012,50396,3.22,96.09,51
240508519,103,33.33,0.00,288,75940,899736,28992,819336,864552,1012,50396,3.22,96.09,52
240514762,109,0.00,50.00,288,75940,899736,28992,819336,864552,1012,50396,3.22,96.09,53
240521041,116,50.00,50.00,1812,79016,899736,29496,818832,864048,1012,50396,3.28,96.03,56
240527799,122,33.33,33.33,2868,79016,899736,30504,817824,863040,1012,50396,3.39,95.92,57
240534614,129,0.00,33.33,3924,79016,899736,31512,816816,862132,1012,50396,3.50,95.82,59
240541342,136,50.00,50.00,4452,79016,899736,32016,816312,861628,1012,50396,3.56,95.76,60
240548153,143,50.00,0.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,61
240554956,149,0.00,100.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,62
240561548,156,33.33,0.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,64
240567791,162,50.00,50.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,65
240574035,169,33.33,33.33,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,66
240580273,175,0.00,50.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,67
240586497,181,50.00,0.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,68
240592733,187,33.33,50.00,4512,82088,899736,32016,816312,861628,1012,50396,3.56,95.76,70
