Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
58439719,1,0.00,0.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,1
58451042,12,25.00,25.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,2
58462275,23,0.00,50.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,3
58473535,35,0.00,33.33,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,4
58484743,46,0.00,0.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,5
58495913,57,25.00,50.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,20
58507293,68,0.00,33.33,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,22
58518584,80,25.00,25.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,27
58530215,91,25.00,50.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,35
58541624,103,25.00,0.00,280,75940,899736,28588,819764,865012,1016,50368,3.18,96.14,46
58553084,114,20.00,50.00,1460,79016,899736,29092,819260,864608,1016,50368,3.23,96.10,48
58564773,126,25.00,25.00,3308,79016,899736,30604,817748,863096,1016,50368,3.40,95.93,50
58576626,138,40.00,33.33,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,51
58588463,150,25.00,33.33,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,53
58599996,161,25.00,40.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,54
58611283,172,33.33,20.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,56
58622647,184,40.00,20.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,58
58633911,195,25.00,25.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,59
58645243,206,25.00,50.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,60
58656508,218,25.00,25.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,62
58667758,229,25.00,20.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,63
58679118,240,40.00,20.00,4420,82088,899736,31612,816740,862092,1016,50368,3.51,95.82,64
