Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
101063988,1,100.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,0
101066387,3,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,1
101068537,5,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,2
101070631,7,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,3
101072760,10,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,4
101074966,12,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,5
101077040,14,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,6
101079139,16,50.00,50.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,7
101081303,18,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,8
101083406,20,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,9
101085517,22,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,10
101087719,24,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,11
101089839,27,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,12
101091953,29,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,13
101094059,31,0.00,0.00,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,14
101096184,33,66.67,33.33,288,75940,899736,29936,818092,863684,1044,50664,3.33,95.99,15
101098347,35,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,16
101100509,37,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,17
101102600,39,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,18
101104727,41,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,19
101106859,44,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,20
101108949,46,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,21
101111038,48,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,22
101113129,50,100.00,100.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,29
101115515,52,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,32
101117881,55,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,39
101120040,57,0.00,100.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,40
101122174,59,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,41
101124340,61,50.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,42
101126472,63,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,43
101128578,65,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,44
101130693,67,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,45
101132803,70,0.00,200.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,49
101135131,72,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,50
101137464,74,50.00,50.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,52
101139652,76,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,53
101141795,79,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,54
101144041,81,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,55
101146285,83,50.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,56
101148526,85,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,58
101150778,88,0.00,100.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,62
101153045,90,100.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,66
101155308,92,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,70
101157555,94,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,75
101159821,97,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,80
101162138,99,100.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,82
101164423,101,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,83
101166542,103,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,84
101168654,105,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,85
101170881,108,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,86
101173030,110,0.00,0.00,288,75940,899736,30188,817840,863432,1044,50664,3.36,95.97,87
101175202,112,50.00,50.00,1336,79016,899736,30440,817588,863180,1044,50664,3.38,95.94,89
101177731,114,0.00,0.00,1780,79016,899736,30944,817084,862676,1044,50664,3.44,95.88,90
101180425,117,0.00,100.00,2308,79016,899736,31196,816832,862424,1044,50664,3.47,95.85,91
101183127,120,100.00,0.00,2572,79016,899736,31700,816328,861920,1044,50664,3.52,95.80,92
101185796,123,0.00,100.00,3100,79016,899736,32204,815824,861416,1044,50664,3.58,95.74,93
101188497,125,100.00,0.00,3628,79016,899736,32456,815572,861164,1044,50664,3.61,95.71,95
101191290,128,50.00,0.00,3892,79016,899736,32960,815068,860660,1044,50664,3.66,95.66,96
101194039,131,0.00,100.00,4420,79016,899736,33212,814816,860408,1044,50664,3.69,95.63,97
101196723,133,100.00,0.00,4420,79016,899736,33212,814816,860408,1044,50664,3.69,95.63,98
101199081,136,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,100
101201895,139,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,101
101204702,141,0.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,102
101207510,144,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,103
101210337,147,100.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,104
101212628,149,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,105
101214820,152,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,106
101217034,154,0.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,107
101219223,156,100.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,109
101221505,158,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,110
101223684,160,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,111
101225898,163,50.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,112
101228073,165,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,113
101230271,167,100.00,100.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,115
101232454,169,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,116
101234668,171,0.00,0.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,117
101236837,174,0.00,50.00,4472,82088,899736,33212,814816,860408,1044,50664,3.69,95.63,118
