Timestamp_us,Elapsed_ms,System_CPU_Percent,Process_CPU_Percent,Process_RSS_KB,Process_VmSize_KB,System_Total_KB,System_Used_KB,System_Free_KB,System_Available_KB,System_Buffers_KB,System_Cached_KB,System_Used_Percent,System_Available_Percent,CtxSwitches
90209644,1,0.00,0.00,272,75940,899736,29728,818676,863924,1024,50308,3.30,96.02,0
90311055,102,11.76,26.47,272,75940,899736,29728,818676,863924,1024,50308,3.30,96.02,36
90412595,204,25.64,28.21,4472,82088,899736,31996,816408,861656,1024,50308,3.56,95.77,42
90514206,305,25.00,25.00,4472,82088,899736,31996,816408,861656,1024,50308,3.56,95.77,46
90615778,407,25.00,27.50,4472,82088,899736,31996,816408,861656,1024,50308,3.56,95.77,50
90717476,509,25.64,25.64,4472,82088,899736,31996,816408,861656,1024,50308,3.56,95.77,59
90819495,611,26.83,26.83,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,68
90921575,713,27.50,24.39,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,76
91023747,815,25.00,25.64,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,85
91125888,917,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,92
91228492,1020,25.00,24.39,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,100
91330566,1122,27.50,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,108
91432626,1224,26.83,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,118
91534763,1326,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,126
91636848,1428,26.83,24.39,4472,79016,899736,31992,816408,861664,1024,50312,3.56,95.77,134
91739335,1531,25.64,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,142
91841389,1633,26.83,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,151
91943490,1735,23.08,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,159
92045600,1837,27.50,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,167
92147662,1939,26.83,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,175
92249789,2041,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,194
92352988,2144,25.00,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,200
92454603,2246,27.50,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,205
92556239,2347,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,209
92657775,2449,25.00,26.83,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,214
92759360,2551,27.50,25.64,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,219
92860938,2652,26.83,24.39,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,223
92962525,2754,23.08,28.21,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,227
93064149,2855,27.50,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,231
93165713,2957,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,235
93267331,3059,26.83,26.83,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,240
93368915,3160,25.64,25.64,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,245
93470546,3262,25.00,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,250
93572205,3363,25.64,25.00,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,254
93673751,3465,25.00,27.50,4472,82088,899736,31992,816408,861664,1024,50312,3.56,95.77,258
93775327,3566,26.83,25.00,4472,80900,899736,31992,816408,861664,1024,50312,3.56,95.77,264
93876929,3668,25.64,28.21,1396,75940,899736,29392,819008,864264,1024,50312,3.27,96.06,267
